Path Way,File Name,Camera,Datetime,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T103220.xml,inner_bore_211202T103220.xml,inner_bore,2021-12-02  03:22:00,1000,7990,1,Crack-outoffocus,328,5661,394,5685,0.8472244143486
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T105207.xml,inner_bore_211202T105207.xml,inner_bore,2021-12-02  05:20:07,1000,7990,1,Crack,296,2628,451,2652,0.73795706033707
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T105436.xml,inner_bore_211202T105436.xml,inner_bore,2021-12-02  05:43:06,1000,7990,1,Crack,640,7173,685,7340,0.74487411975861
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T105523.xml,inner_bore_211202T105523.xml,inner_bore,2021-12-02  05:52:03,1000,7990,1,Crack,640,7172,685,7355,0.58596241474152
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T105705.xml,inner_bore_211202T105705.xml,inner_bore,2021-12-02  05:07:05,1000,7990,1,Crack,381,1699,404,1799,0.88191705942154
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T105902.xml,inner_bore_211202T105902.xml,inner_bore,2021-12-02  05:09:02,1000,7990,1,Crack,365,7105,389,7252,0.61606752872467
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T110122.xml,inner_bore_211202T110122.xml,inner_bore,2021-12-02  10:12:02,1000,7990,1,Crack,641,7161,687,7341,0.8932963013649
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T110138.xml,inner_bore_211202T110138.xml,inner_bore,2021-12-02  10:13:08,1000,7990,1,Crack,639,7172,687,7337,0.75353908538818
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T110916.xml,inner_bore_211202T110916.xml,inner_bore,2021-12-02  10:09:16,1000,7990,1,Crack,638,7146,700,7405,0.54897034168243
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T110931.xml,inner_bore_211202T110931.xml,inner_bore,2021-12-02  10:09:31,1000,7990,1,Crack,634,7174,681,7340,0.61830067634583
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T111218.xml,inner_bore_211202T111218.xml,inner_bore,2021-12-02  11:21:08,1000,7990,1,Crack,642,7184,683,7334,0.72004467248917
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T112130.xml,inner_bore_211202T112130.xml,inner_bore,2021-12-02  12:13:00,1000,7990,1,Crack,349,5056,373,5189,0.53542464971542
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T115126.xml,inner_bore_211202T115126.xml,inner_bore,2021-12-02  15:12:06,1000,7990,1,Crack,641,7187,682,7336,0.76868808269501
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T124245.xml,inner_bore_211202T124245.xml,inner_bore,2021-12-02  02:42:45,1000,7990,1,Crack,385,3874,429,4040,0.81138551235199
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T125052.xml,inner_bore_211202T125052.xml,inner_bore,2021-12-02  02:50:52,1000,7990,1,Crack-minor,344,7365,425,7383,0.76790797710419
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T130703.xml,inner_bore_211202T130703.xml,inner_bore,2021-12-02  03:07:03,1000,7990,1,Crack,449,7689,555,7717,0.73063516616821
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T130950.xml,inner_bore_211202T130950.xml,inner_bore,2021-12-02  03:09:50,1000,7990,1,Crack-minor,270,5465,368,5484,0.87946516275406
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T131214.xml,inner_bore_211202T131214.xml,inner_bore,2021-12-02  03:12:14,1000,7990,1,Crack,245,3434,291,3454,0.70898973941803
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T131355.xml,inner_bore_211202T131355.xml,inner_bore,2021-12-02  03:13:55,1000,7990,1,Crack,309,2624,434,2647,0.5626585483551
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T132906.xml,inner_bore_211202T132906.xml,inner_bore,2021-12-02  03:29:06,1000,7990,1,Crack,323,6233,401,6254,0.64791065454483
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T132930.xml,inner_bore_211202T132930.xml,inner_bore,2021-12-02  03:29:30,1000,7990,1,Crack-outoffocus,282,4255,361,4276,0.85057127475739
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T132936.xml,inner_bore_211202T132936.xml,inner_bore,2021-12-02  03:29:36,1000,7990,1,Crack-minor,311,2628,452,2651,0.68157505989075
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T133142.xml,inner_bore_211202T133142.xml,inner_bore,2021-12-02  03:31:42,1000,7990,1,Crack,464,1007,526,1157,0.80744737386703
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T133954.xml,inner_bore_211202T133954.xml,inner_bore,2021-12-02  03:39:54,1000,7990,1,Crack-minor,365,7085,507,7106,0.72527945041656
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T134246.xml,inner_bore_211202T134246.xml,inner_bore,2021-12-02  03:42:46,1000,7990,1,Crack-outoffocus,422,6230,516,6251,0.71556079387665
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T134620.xml,inner_bore_211202T134620.xml,inner_bore,2021-12-02  03:46:20,1000,7990,1,Crack,469,1161,509,1277,0.62289637327194
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T135201.xml,inner_bore_211202T135201.xml,inner_bore,2021-12-02  03:52:01,1000,7990,1,Crack-minor,214,3253,297,3274,0.83745664358139
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T135710.xml,inner_bore_211202T135710.xml,inner_bore,2021-12-02  03:57:10,1000,7990,1,Crack-minor,246,3267,324,3291,0.72485917806625
D:\data\vision_6830\image_data\inner_rim\nok\211202\inner_rim_211202T085054.xml,inner_rim_211202T085054.xml,inner_rim,2021-12-02  08:50:54,260,7990,1,Chip,0,848,195,1200,0.99767845869064
